,node_count,edge_count,order,k,mean,stdev,n_incompletes,n_seen_all,n_sinks
0,1000,2000,vid,2,97.87600044000001,12.609001612278096,23.0,0.0,576
1,1000,2000,vid,3,357.84010664,14.747572077480385,24.0,0.0,576
